f,FANFX,FS Market Neutral Fund Class A - FS Series Trust,"201 Rouse Boulevard, Philadelphia, PA 19112",877-372-9880,,,,,Scott  Burr,"December 30, 2018",39.89488195,-75.1710190017932
c,OCN,Ocwen Financial Corporation,"1661 Worthington Road, Suite 100, West Palm Beach, FL 33409, United States",561-682-8000,http://www.ocwen.com,Financial Services,Specialty Finance,"6,200",,,26.6961056039506,-80.0762441232091
c,SAP,SAP SE,"Dietmar-Hopp-Allee 16, Walldorf 69190, Germany",49 6227 7 47474,http://www.sap.com,Technology,Software - Application,"99,710",,,49.2936828,8.6420521716246
f,TILCX,T. Rowe Price Institutional Large Cap Value Fund - T. Rowe Price Institutional Equity Funds,"100 East Pratt Street, Baltimore MD 21202",800-638-8797,,,,,Mark S. Finn,"February 24, 2010",39.28723475,-76.61272955468
c,ZADDF,Zadar Ventures Ltd.,"510 Burrard Street, Suite 908, Vancouver, BC V6C 3A8, Canada",604-608-6314,http://www.zadarventures.com,Basic Materials,Industrial Metals & Minerals,,,,49.28599515,-123.117495108069
f,RPEIX,"T. Rowe Price Dynamic Global Bond Fund I Class - T. Rowe Price International Funds, Inc.","100 East Pratt Street, Baltimore, MD 21202",800-638-8790,,,,,Arif  Husain,"January 21, 2015",39.28723475,-76.61272955468
c,IDRSF,Idorsia Ltd,"Hegenheimermattweg 91, Allschwil 4123, Switzerland",41 58 844 10 10,http://www.idorsia.com,Healthcare,Biotechnology,,,,47.5608439,7.5529973
f,MSVIX,Mesirow Financial Small Cap Value Sustainability Fund Institutional Shares - Advisors' Inner Circle Fund III,One Freedom Valley Drive,833-637-4769,,,,,John  Nelson,"July 29, 2019",42.647488,-82.960953
c,CSLLY,CSL Limited,"45 Poplar Road, Parkville, VIC 3052, Australia",61 3 9389 1911,http://www.csl.com,Healthcare,Biotechnology,,,,-37.7804146,144.9504896
f,PAIKX,"T. Rowe Price Emerging Markets Bond Fund Advisor Class - T. Rowe Price International Funds, Inc.","100 East Pratt Street, Baltimore, MD 21202",800-638-8790,,,,,Michael J. Conelius,"December 29, 1994",39.28723475,-76.61272955468
c,PERT,"Permanent Technologies, Inc.","100 Marina Drive, Suite 316, Quincy, MA 02171, United States",617-481-9561,http://www.tinelok.com,Industrials,Tools & Accessories,,,,42.293879,-71.025466
